id,label
0,agreeable
1,man
2,old
3,person
4,anything
5,short
6,arm
7,round
8,aunt
9,first
10,bad
11,air
12,boy
13,beautiful
14,black
15,face
16,letter
17,little
18,young
19,best
20,course
21,friend
22,love
23,part
24,room
25,thing
26,time
27,way
28,better
29,heart
30,mind
31,place
32,right
33,state
34,woman
35,word
36,door
37,eye
38,bright
39,evening
40,morning
41,certain
42,day
43,other
44,child
45,happy
46,common
47,dark
48,kind
49,night
50,dear
51,good
52,home
53,mother
54,pretty
55,open
56,early
57,fire
58,full
59,great
60,master
61,moment
62,work
63,general
64,fancy
65,voice
66,head
67,hope
68,long
69,greater
70,hand
71,hard
72,red
73,life
74,glad
75,large
76,new
77,white
78,late
79,whole
80,light
81,manner
82,bed
83,house
84,low
85,money
86,ready
87,small
88,strange
89,thought
90,lost
91,alone
92,nothing
93,miserable
94,natural
95,half
96,wrong
97,name
98,pleasant
99,possible
100,side
101,perfect
102,poor
103,quiet
104,same
105,strong
106,something
107,true
108,usual
109,family
110,world
111,year
,
