round_epochs,val_loss,val_acc,val_precision,val_recall,val_f1,val_accuracy,loss,acc,precision,recall,f1,accuracy,learning_rate,first_layer_num_neurons,second_layer_num_neurons,first_layer_activation,second_layer_activation,batch_size,epochs,dropout,optimizer,last_layer_activation_function,weight_regulizer
50,0.6711330432891845,0.7033200006484985,0.5047031645774841,0.8986321415901184,0.6584611659049988,0.7033200006484985,0.6711482719580333,0.6982133332093556,0.5027155756553014,0.8745543493429819,0.6375679314136505,0.6982133332093556,0.001,32,32,relu,relu,200,50,0.2,<class 'keras.optimizers.Adam'>,sigmoid,None
20,0.6209412121772766,0.7451200003623962,0.5576788167953491,0.8175766296386718,0.6695883569717407,0.7451200003623962,0.6189090411663055,0.7535733328660329,0.5293334279855092,0.7978129115899404,0.6353948488632838,0.7535733328660329,0.01,16,inactive,relu,relu,200,20,0.2,<class 'keras.optimizers.Adam'>,sigmoid,None
43,0.486841561794281,0.7632800011634827,0.6019695522785187,0.46673040628433227,0.5242050795555114,0.7632800011634827,0.4437881307999293,0.797399999221166,0.5280070348978042,0.45250424683094026,0.4856624178489049,0.797399999221166,0.01,32,32,relu,relu,200,50,0.2,<class 'keras.optimizers.Adam'>,sigmoid,None
31,0.4871493993997574,0.7648400001525879,0.6799326429367065,0.4540609576702118,0.5577090020179749,0.7648400001525879,0.4514818997780482,0.7960399977763494,0.5456972936789195,0.4704941102564335,0.5267902677456537,0.7960399977763494,0.01,64,16,relu,relu,100,50,0.3,<class 'keras.optimizers.Adam'>,sigmoid,None
50,0.6830674867630004,0.6764400019645691,0.5155777082443237,0.23926588034629823,0.32520146083831786,0.6764400019645691,0.6827842678229014,0.6508533331553141,0.4998976879119873,0.30644240681330365,0.37848819202184675,0.6508533331553141,0.001,16,inactive,relu,relu,200,50,0.5,<class 'keras.optimizers.Adam'>,sigmoid,None
50,0.490213548541069,0.7634400005340576,0.5589548372030259,0.551431989312172,0.5524756239652634,0.7634400005340576,0.4893016676505407,0.7816933314800263,0.5076015393137931,0.5844393831888834,0.5442311973373095,0.7816933314800263,0.01,16,16,relu,relu,100,50,0.5,<class 'keras.optimizers.Adam'>,sigmoid,None
20,0.681754338979721,0.7229200005531311,0.516671403169632,0.6544544404745102,0.5750517330169678,0.7229200005531311,0.6816080807447433,0.7198733350038529,0.5046965986887614,0.6042089365919431,0.5478825290203094,0.7198733350038529,0.001,64,inactive,relu,relu,100,20,0.3,<class 'keras.optimizers.Adam'>,sigmoid,None
50,0.6750009927749634,0.7350400013923645,0.5056595838069916,0.5364372508525849,0.5192807557582855,0.7350400013923645,0.6743172834714254,0.740813334941864,0.4989218363761902,0.5249600689808528,0.5104068117936452,0.740813334941864,0.001,32,inactive,relu,relu,200,50,0.2,<class 'keras.optimizers.Adam'>,sigmoid,None
50,0.6682498345375061,0.7387200000286103,0.5189254939556122,0.6065308684110642,0.5569185801744461,0.7387200000286103,0.6689423876603444,0.7089400014082591,0.5074468686381975,0.5691673676172893,0.5341727079749108,0.7089400014082591,0.001,32,16,relu,relu,100,50,0.3,<class 'keras.optimizers.Adam'>,sigmoid,None
34,0.48618609523773193,0.764759999513626,0.5364415887594223,0.7785504038333892,0.6768489162921906,0.764759999513626,0.44806288450956344,0.7960133322079976,0.5114467581907908,0.7811796356836955,0.6414516707857449,0.7960133322079976,0.01,32,16,relu,relu,100,50,0.2,<class 'keras.optimizers.Adam'>,sigmoid,None
20,0.6910106768608093,0.6433599991798401,0.5228124647140503,0.45989392113685607,0.48805912256240847,0.6433599991798401,0.6911469209194183,0.6026800009409586,0.5076819152832032,0.44448821421464285,0.47268846960862476,0.6026800009409586,0.001,32,32,relu,relu,200,20,0.3,<class 'keras.optimizers.Adam'>,sigmoid,None
20,0.49584954953193666,0.7597199988365173,0.690615630865097,0.2838436977863312,0.4006013562679291,0.7597199988365173,0.4809026880264282,0.7786266659895579,0.5456752628882726,0.3031901588936647,0.3881762648423513,0.7786266659895579,0.01,64,32,relu,relu,200,20,0.3,<class 'keras.optimizers.Adam'>,sigmoid,None
48,0.48648789739608767,0.7643199996948242,0.5485977065563202,0.7311524319648742,0.6476767845153809,0.7643199996948242,0.45028182180722554,0.7982066668669383,0.5106009182532628,0.6107540312210719,0.5619654896656672,0.7982066668669383,0.01,64,32,relu,relu,200,50,0.5,<class 'keras.optimizers.Adam'>,sigmoid,None
50,0.5115323567390442,0.7578800010681153,0.5357981240749359,0.7762002415657043,0.6795644946098328,0.7578800010681153,0.49425682655970254,0.77892666665713,0.5164712185064951,0.7854019877115885,0.6559988853136698,0.77892666665713,0.01,32,inactive,relu,relu,200,50,0.2,<class 'keras.optimizers.Adam'>,sigmoid,None
50,0.684443913936615,0.6800000009536743,0.5032149727344513,0.8271663579940796,0.6326340775489807,0.6800000009536743,0.6852349879741668,0.6160733331839243,0.49984962276617684,0.6968533984820048,0.5845667386452357,0.6160733331839243,0.001,32,32,relu,relu,200,50,0.5,<class 'keras.optimizers.Adam'>,sigmoid,None
20,0.6839195427894592,0.6797999994754791,0.5369918867051602,0.13335567424446346,0.21071367456018925,0.6797999994754791,0.6841111616690954,0.6643866680463155,0.5194746239831051,0.19129606985797484,0.2766552709142367,0.6643866680463155,0.001,64,16,relu,relu,100,20,0.2,<class 'keras.optimizers.Adam'>,sigmoid,None
20,0.6906991033554077,0.6357199997901917,0.5116844673156739,0.3603084213733673,0.42133598470687866,0.6357199997901917,0.6906552663644154,0.5940200006167093,0.5026137270927429,0.39683622984091443,0.44195711545149485,0.5940200006167093,0.001,16,inactive,relu,relu,200,20,0.5,<class 'keras.optimizers.Adam'>,sigmoid,None
50,0.4880258069038391,0.764079999923706,0.5982173439860344,0.30320813101530075,0.39927665305137633,0.764079999923706,0.46755722614129386,0.7911399984359742,0.5151571590701739,0.3596252103547255,0.4199202030102412,0.7911399984359742,0.01,16,32,relu,relu,100,50,0.5,<class 'keras.optimizers.Adam'>,sigmoid,None
37,0.4885102605819702,0.7634399998188018,0.7168580111861229,0.06681050553917885,0.41790598100423815,0.7634399998188018,0.44759289373954136,0.7964333311319352,0.563237928301096,0.07960443156460921,0.30819315973420935,0.7964333311319352,0.01,16,32,relu,relu,100,50,0.2,<class 'keras.optimizers.Adam'>,sigmoid,None
20,0.690824282169342,0.5994399981498718,0.5054502770900726,0.8933799262046814,0.6459837169647217,0.5994399981498718,0.6910145142873129,0.5566000000238419,0.5015475172599156,0.7939794372717539,0.6139666839838028,0.5566000000238419,0.001,64,32,relu,relu,200,20,0.5,<class 'keras.optimizers.Adam'>,sigmoid,None
50,0.6819507527351379,0.6707599992752076,0.5266659166812897,0.1973197464942932,0.28540119260549546,0.6707599992752076,0.6814281208515167,0.6759599986871083,0.5143530763785045,0.22704474807778993,0.3136072268287341,0.6759599986871083,0.001,16,inactive,relu,relu,200,50,0.2,<class 'keras.optimizers.Adam'>,sigmoid,None
50,0.6724343585968018,0.6198400001525879,0.5322882106304169,0.06992260164022446,0.12858877709507943,0.6198400001525879,0.671994421005249,0.6273066670099894,0.5066481829682986,0.11256622492025296,0.19598497188587982,0.6273066670099894,0.001,64,8,relu,relu,200,50,0.2,<class 'keras.optimizers.Adam'>,sigmoid,None
50,0.489664408326149,0.761439998626709,0.6937854628562927,0.5520067662000656,0.6118020272254944,0.761439998626709,0.4627391547560692,0.7871666644016901,0.587550387819608,0.4981419484615326,0.5354708878993988,0.7871666644016901,0.01,32,inactive,relu,relu,100,50,0.3,<class 'keras.optimizers.Adam'>,sigmoid,None
50,0.4899635546207428,0.763040002822876,0.7098888907432556,0.03048286756873131,0.1557338210940361,0.763040002822876,0.46181470704078675,0.7902866665522258,0.5435341192384561,0.08080750568583607,0.22356157097220422,0.7902866665522258,0.01,16,32,relu,relu,200,50,0.3,<class 'keras.optimizers.Adam'>,sigmoid,None
50,0.6745375752449035,0.7284800033569336,0.5055231323242187,0.6651338911056519,0.5956511108875274,0.7284800033569336,0.6744351231257121,0.6972866657574972,0.5009038259983063,0.636307988802592,0.5726615012486775,0.6972866657574972,0.001,32,8,relu,relu,200,50,0.2,<class 'keras.optimizers.Adam'>,sigmoid,None
50,0.6332019848823547,0.7353599998950958,0.5144149721860886,0.8383331136703491,0.6356338698863984,0.7353599998950958,0.6339775059223175,0.7309466673135757,0.5063020473917326,0.7699731673399607,0.609408495982488,0.7309466673135757,0.001,64,32,relu,relu,100,50,0.3,<class 'keras.optimizers.Adam'>,sigmoid,None
24,0.4862595318555832,0.7636400003433228,0.6756630744934082,0.5224799720048905,0.5864468202590942,0.7636400003433228,0.44669057450691857,0.7960199983119964,0.5513557643294335,0.5415305521885554,0.5433967392643293,0.7960199983119964,0.01,64,32,relu,relu,100,50,0.3,<class 'keras.optimizers.Adam'>,sigmoid,None
50,0.48816251337528227,0.7636799993515014,0.5365651541948319,0.7608620035648346,0.6650236992835998,0.7636799993515014,0.4707998005549113,0.7886466646591822,0.5123194752136866,0.688217920144399,0.6044061373472214,0.7886466646591822,0.01,16,8,relu,relu,100,50,0.3,<class 'keras.optimizers.Adam'>,sigmoid,None
